time(s),position(m),velocity(m/s),acceleration(m/s^2)
2.05,0.299462,-0.850521,-2.74303
2.06,0.290822,-0.8773,-2.61257
2.07,0.281921,-0.902766,-2.48028
2.08,0.272771,-0.926901,-2.34635
2.09,0.263387,-0.949688,-2.21096
2.1,0.253782,-0.971115,-2.07427
2.11,0.243969,-0.99117,-1.93646
2.12,0.233963,-1.00984,-1.79772
2.13,0.223777,-1.02712,-1.65821
2.14,0.213425,-1.043,-1.5181
2.15,0.202922,-1.05748,-1.37758
2.16,0.19228,-1.07055,-1.23681
2.17,0.181515,-1.08222,-1.09597
2.18,0.170641,-1.09247,-0.955216
2.19,0.159671,-1.10132,-0.814724
2.2,0.148619,-1.10877,-0.674658
2.21,0.1375,-1.11482,-0.53518
2.22,0.126327,-1.11948,-0.396451
2.23,0.115115,-1.12275,-0.258629
2.24,0.103877,-1.12465,-0.12187
2.25,0.0926265,-1.12519,0.0136742
2.26,0.0813775,-1.12438,0.147853
2.27,0.0701433,-1.12224,0.280521
2.28,0.0589371,-1.11878,0.411533
2.29,0.047772,-1.11402,0.540751
2.3,0.0366611,-1.10797,0.668037
2.31,0.0256169,-1.10066,0.793259
2.32,0.014652,-1.09211,0.916288
2.33,0.00377868,-1.08234,1.037
2.34,-0.00699092,-1.07138,1.15527
2.35,-0.017645,-1.05925,1.27099
2.36,-0.028172,-1.04597,1.38403
2.37,-0.0385607,-1.03158,1.4943
2.38,-0.0487999,-1.01609,1.60169
2.39,-0.058879,-0.999551,1.7061
2.4,-0.0687875,-0.981981,1.80743
2.41,-0.0785153,-0.963413,1.9056
2.42,-0.0880526,-0.94388,2.00051
2.43,-0.0973898,-0.923414,2.09209
2.44,-0.106518,-0.90205,2.18026
2.45,-0.115428,-0.879821,2.26496
2.46,-0.124111,-0.856762,2.3461
2.47,-0.132561,-0.832911,2.42364
2.48,-0.140767,-0.808302,2.49751
2.49,-0.148724,-0.782973,2.56766
2.5,-0.156424,-0.756961,2.63405
2.51,-0.163861,-0.730304,2.69664
2.52,-0.171028,-0.703041,2.75538
2.53,-0.17792,-0.67521,2.81025
2.54,-0.184531,-0.646849,2.86122
2.55,-0.190855,-0.617998,2.90826
2.56,-0.196889,-0.588697,2.95137
2.57,-0.202628,-0.558984,2.99052
2.58,-0.208068,-0.5289,3.02571
2.59,-0.213205,-0.498483,3.05694
2.6,-0.218036,-0.467774,3.08421
2.61,-0.22256,-0.436812,3.10753
2.62,-0.226772,-0.405637,3.1269
2.63,-0.230672,-0.374287,3.14235
2.64,-0.234257,-0.342803,3.15389
2.65,-0.237527,-0.311222,3.16155
